Point ID,row[pixel],coulmn[pixel],delta_row[pixel],delta_col[pixel],Longtitue [DD],Latitude [DD]
1,1423,2483,0.7,0.01,34.830195,32.230921
2,2548,2637,0.91,0.9,34.83022,32.230879
3,3197,1163,0.06,0.08,34.830112,32.230774
4,2052,487,0.33,0.3,34.830021,32.230856
5,1308,857,0.02,0.51,34.830038,32.230917
6,392,68,0.81,0.62,34.829875,32.231048
7,1157,1647,0.21,0.16,34.830118,32.23092
8,948,1567,0.06,0.73,34.830101,32.230954
9,352,1232,0.07,0.62,34.830046,32.231021
10,848,3357,0.75,0.66,34.830285,32.230993
11,403,3278,0.52,0.17,34.830276,32.231031
12,848,4287,0.08,0.91,34.830373,32.230973
13,423,4720,0.15,0.43,34.830424,32.231021
14,97,3882,0.57,0.77,34.830338,32.231053
